Rk,Gcar,Gtm,Date,Team,Loc,Opp,Result,GS,Tgt,Rec,RecYds,RushAtt,RushYds,FantasyPoints
1,46,1,2024-09-08,CIN,vs,NWE,"L, 10-16",1,6,6,62,0,0,9.2
2,47,2,2024-09-15,CIN,@,KAN,"L, 25-26",1,5,4,35,0,0,5.5
3,48,3,2024-09-23,CIN,vs,WAS,"L, 33-38",1,7,6,118,0,0,14.8
4,49,4,2024-09-29,CIN,@,CAR,"W, 34-24",1,6,3,85,0,0,10.0
5,50,5,2024-10-06,CIN,vs,BAL,"L, 38-41 (OT)",1,12,10,193,0,0,24.3
6,51,6,2024-10-13,CIN,@,NYG,"W, 17-7",1,6,5,72,0,0,9.7
7,52,7,2024-10-20,CIN,@,CLE,"W, 21-14",1,6,5,55,1,11,9.1
8,53,8,2024-10-27,CIN,vs,PHI,"L, 17-37",1,11,9,54,0,0,9.9
9,54,9,2024-11-03,CIN,vs,LVR,"W, 41-24",1,11,7,43,0,0,7.8
10,55,10,2024-11-07,CIN,@,BAL,"L, 34-35",1,17,11,264,0,0,31.9
11,56,11,2024-11-17,CIN,@,LAC,"L, 27-34",1,13,7,75,0,0,11.0
12,57,12,2024-12-01,CIN,vs,PIT,"L, 38-44",1,9,6,86,0,0,11.6
13,58,13,2024-12-09,CIN,@,DAL,"W, 27-20",1,18,14,177,1,14,26.099999999999998
14,59,14,2024-12-15,CIN,@,TEN,"W, 37-27",1,11,9,94,0,0,13.9
15,60,15,2024-12-22,CIN,vs,CLE,"W, 24-6",0,8,6,97,1,7,13.399999999999999
16,61,16,2024-12-28,CIN,vs,DEN,"W, 30-24 (OT)",1,15,9,102,0,0,14.7
17,62,17,2025-01-04,CIN,@,PIT,"W, 19-17",1,14,10,96,0,0,14.6
